family,d,p,q,n,rho,method,method_description,credit,credit_evidence_grade,credit_evidence,extended_status,tie,tie_note,parent,chain_root,credit_note,moller_bound,at_moller_bound,err_float64,err_extended,err_float128,digits_shipped,sum_weights,sum_weights_minus_1,min_weight,max_node_norm,min_face_distance,source_file,source_sha256,source_tree,float64_origin
legendre,2,1,1,1,1.000000,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"unestablished:Diallo and Worku, arXiv:2601.14488","our n=1 equals their published count, but the repo holds no node data for this cell — published counts for every degree are in symq/dw_counts.tsv, but node data (symq/dw_rules/) covers only square p 37-77 and cube p 27-45",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",1,yes,0.000000e+00,0.000000e+00,0.000000e+00,17+80,1,+0.000e+00,1.000000e+00,0.7071067812,5.000000e-01,legendre_d2_p1_n1.csv,d03556eea425e6c1e00a132440b75652e4b12f2e71f5da81dd7fab46108058ee,sync,twin-round-down
legendre,2,3,2,4,1.000000,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"unestablished:Diallo and Worku, arXiv:2601.14488","our n=4 equals their published count, but the repo holds no node data for this cell — published counts for every degree are in symq/dw_counts.tsv, but node data (symq/dw_rules/) covers only square p 37-77 and cube p 27-45",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",4,yes,2.015365e-17,5.244709e-75,2.544049e-35,17+80,1,+0.000e+00,2.087571e-01,1.079571803,1.235790e-01,legendre_d2_p3_n4.csv,24ed0871f026f6a4cebde9f6c3dda10012a3fa4a946418eebcf438af8087b2c7,sync,twin-round-down
legendre,2,5,3,7,0.881917,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"distinct:Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302","equal count n=7, and a different rule: smr05.csv: different node set up to the cube's symmetry (tol 1e-8); Diallo and Worku, arXiv:2601.14488: published count(s) 8 for this cell, ours is 7",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",7,yes,2.775558e-17,1.447463e-76,2.407412e-35,17+80,1,-2.776e-17,9.795308e-02,1.190095116,4.553877e-02,legendre_d2_p5_n7.csv,42a10cbc0dc003725e212a46e30a7a15ffcb9ec86ed93099731f008ce2332fdf,sync,twin-round-down
legendre,2,7,4,12,0.866025,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"distinct:Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302 | unestablished:Diallo and Worku, arXiv:2601.14488","equal count n=12, and a different rule: smr07.csv: different node set up to the cube's symmetry (tol 1e-8); our n=12 equals their published count, but the repo holds no node data for this cell — published counts for every degree are in symq/dw_counts.tsv, but node data (symq/dw_rules/) covers only square p 37-77 and cube p 27-45",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",12,yes,1.613557e-17,1.144393e-74,1.507063e-35,17+80,1,+0.000e+00,4.067088e-02,1.26245673,1.501852e-02,legendre_d2_p7_n12.csv,c980995bc1f07dd004c8d00c0ad3fa09f8f869e372f5ca871077d9339b6c53ca,sync,twin-round-down
legendre,2,9,5,17,0.824621,L,literature rule,"same-rule:Festa and Sommariva 2012, SMR09 (count first published by Moller 1976)",none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"same-rule:Festa and Sommariva 2012, SMR09 (count first published by Moller 1976)","our bank file IS this published rule (rules/literature.tsv), confirmed here against smr09.csv",-,-,"our search converged to a rule identical to this published one; the rule is theirs, cite them",17,yes,2.775558e-17,1.437775e-78,1.619484e-35,17+80,1,-2.776e-17,2.221984e-02,1.301970241,1.557502e-02,legendre_d2_p9_n17.csv,2a1a9b88c026f04c09d9074e371b763385811c8e5a18cf205762e62e06b4aa29,sync,twin-round-down
legendre,2,11,6,24,0.816497,F,free nodes (no imposed symmetry),ours,cluster-find-ledger,"a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-02 19:12 UTC",twin-shipped,"distinct:Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302","equal count n=24, and a different rule: smr11.csv: different node set up to the cube's symmetry (tol 1e-8); Diallo and Worku, arXiv:2601.14488: published count(s) 28 for this cell, ours is 24",unrecorded,unrecorded,"our own tooling produced this rule — a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-02 19:12 UTC. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",24,yes,1.510509e-17,4.712622e-73,2.131730e-35,17+80,1,+0.000e+00,6.434395e-03,1.379313588,1.200071e-02,legendre_d2_p11_n24.csv,49becef6d01f0630cd504de597d929eb23082552842c6212fc7ce9584c645555,sync,twin-round-down
legendre,2,13,7,33,0.820652,L,literature rule,"same-rule:Festa and Sommariva 2012, SMR13",cluster-find-ledger,"a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-02 19:12 UTC",twin-shipped,"same-rule:Festa and Sommariva 2012, SMR13","our bank file IS this published rule (rules/literature.tsv), confirmed here against smr13.csv",-,-,"our search converged to a rule identical to this published one; the rule is theirs, cite them",31,no,2.775558e-17,4.148388e-72,4.548566e-36,17+80,1,+2.776e-17,7.497960e-03,1.349903962,8.256659e-03,legendre_d2_p13_n33.csv,b02bcaded12b5a427f51743f8b6857cb0e25174158467ec76dea8ce19041d728,sync,twin-round-down
legendre,2,15,8,43,0.819680,L,literature rule,"same-rule:Festa and Sommariva 2012, SMR15",cluster-find-ledger,"a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-02 19:12 UTC",twin-shipped,"same-rule:Festa and Sommariva 2012, SMR15","our bank file IS this published rule (rules/literature.tsv), confirmed here against smr15.csv",-,-,"our search converged to a rule identical to this published one; the rule is theirs, cite them",40,no,2.323975e-17,6.695123e-74,2.256949e-35,17+80,1,+5.204e-18,2.399496e-03,1.393026776,5.148210e-03,legendre_d2_p15_n43.csv,1b7df0eb87c8eca86ac63e91a52ca775415db0e3b71cbf6b3f491c445ac024e4,sync,twin-round-down
legendre,2,17,9,54,0.816497,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"distinct:Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302","equal count n=54, and a different rule: smr17.csv: different node set up to the cube's symmetry (tol 1e-8); Diallo and Worku, arXiv:2601.14488: published count(s) 57 for this cell, ours is 54",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",49,no,1.105786e-17,1.466160e-78,1.641568e-35,17+80,1,+2.602e-18,2.287453e-03,1.376670729,2.774513e-03,legendre_d2_p17_n54.csv,8eee26ad79048453e6a9bcf6bd5c0807ae9e02158b298ec9acddc6368217fc56,sync,twin-round-down
legendre,2,19,10,67,0.818535,F,free nodes (no imposed symmetry),ours,lineage,"rules/lineage records how we made it: center merge: innermost pair #16 collapsed into a center node, free-node reconvergence (scratchpad/center_test.jl) (parent legendre_d2_p19_n68.csv)",twin-shipped,"distinct:Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302","equal count n=67, and a different rule: smr19.csv: different node set up to the cube's symmetry (tol 1e-8); Diallo and Worku, arXiv:2601.14488: published count(s) 72 for this cell, ours is 67",legendre_d2_p19_n68.csv,legendre_d2_p19_n68.csv,"our own tooling produced this rule — rules/lineage records how we made it: center merge: innermost pair #16 collapsed into a center node, free-node reconvergence (scratchpad/center_test.jl) (parent legendre_d2_p19_n68.csv). There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",60,no,7.731999e-18,1.396709e-71,8.454935e-36,17+80,1,-4.337e-18,1.046620e-03,1.383794118,5.067378e-03,legendre_d2_p19_n67.csv,757f6faa0cad17ae6b8053c0b6a6af7cbf75d2c1ccb7e762e81cad42a6613a9f,sync,twin-round-down
