x y w logw
-6.95457355 -1.05174694 4.983198e-12 -11.3025
-6.90994812 0.28714559 1.162368e-11 -10.9347
-6.91577911 1.71903027 2.999949e-12 -11.5229
-5.53957871 4.48259786 2.992488e-12 -11.5240
-6.17285134 -3.51631323 3.116542e-12 -11.5063
-6.64033055 -2.29968654 4.939758e-12 -11.3063
-5.58969420 -1.89767254 4.741865e-09 -8.3241
-5.82148107 -0.84565730 5.324464e-09 -8.2737
-5.75892413 0.13722335 9.436811e-09 -8.0252
-5.79160639 1.11566725 4.747732e-09 -8.3235
-5.66267748 2.11459934 1.812633e-09 -8.7417
-6.28048711 3.13766976 6.066142e-12 -11.2171
-5.36567516 -4.70712478 2.567802e-12 -11.5904
-4.75169218 -3.76799441 1.549675e-09 -8.8098
-5.19945547 -2.88553636 3.533398e-09 -8.4518
-4.47577808 -2.16826914 6.171563e-07 -6.2096
-4.78620448 -1.22115137 7.086727e-07 -6.1496
-4.83949816 -0.29791558 1.030011e-06 -5.9872
-4.81827067 0.61232841 9.636627e-07 -6.0161
-4.76027168 1.49074921 5.356259e-07 -6.2711
-4.95790212 2.49563360 2.181411e-08 -7.6613
-4.97368571 3.37238130 2.572829e-09 -8.5896
-4.20082582 4.26665300 3.216273e-09 -8.4926
-4.37207617 -5.83853636 8.089817e-13 -12.0921
-4.02222571 -4.29028564 3.815868e-09 -8.4184
-4.03107576 -3.09334050 3.666538e-07 -6.4357
-3.50848691 -2.23818377 2.152089e-05 -4.6671
-3.84818629 -1.36140564 2.983198e-05 -4.5253
-3.96619601 -0.47696950 4.084861e-05 -4.3888
-3.96674730 0.41839637 4.187942e-05 -4.3780
-3.84844744 1.30934293 3.267431e-05 -4.4858
-4.17407750 2.27353829 1.517098e-06 -5.8190
-3.93083407 3.18796564 3.990856e-07 -6.3989
-4.41742854 5.55209964 3.739684e-12 -11.4272
-3.94843945 -4.99961451 1.882940e-10 -9.7252
-2.79106655 -4.52546345 7.220046e-08 -7.1415
-3.32471201 -3.86232222 2.802781e-07 -6.5524
-3.04872439 -3.05058800 1.071324e-05 -4.9701
