x y w logw
0.43521995 0.51927053 2.386933e-03 -2.6222
0.56478005 0.48072947 2.386933e-03 -2.6222
0.40687980 0.47818066 1.908500e-03 -2.7193
0.59312020 0.52181934 1.908500e-03 -2.7193
0.51311134 0.64493712 2.458939e-03 -2.6093
0.48688866 0.35506288 2.458939e-03 -2.6093
0.32925169 0.52978024 1.575014e-03 -2.8027
0.67074831 0.47021976 1.575014e-03 -2.8027
0.50198974 0.77741757 2.216104e-03 -2.6544
0.49801026 0.22258243 2.216104e-03 -2.6544
0.21626843 0.48159816 1.975787e-03 -2.7043
0.78373157 0.51840184 1.975787e-03 -2.7043
0.46848435 0.81032746 2.111580e-03 -2.6754
0.53151565 0.18967254 2.111580e-03 -2.6754
0.16382585 0.47982674 2.114926e-03 -2.6747
0.83617415 0.52017326 2.114926e-03 -2.6747
0.50718480 0.89618156 1.743522e-03 -2.7586
0.49281520 0.10381844 1.743522e-03 -2.7586
0.09408936 0.51120415 1.677399e-03 -2.7754
0.90591064 0.48879585 1.677399e-03 -2.7754
0.48450002 0.95077044 1.024892e-03 -2.9893
0.51549998 0.04922956 1.024892e-03 -2.9893
0.05007854 0.44543900 1.080488e-03 -2.9664
0.94992146 0.55456100 1.080488e-03 -2.9664
0.51122063 0.97033241 9.476277e-04 -3.0234
0.48877937 0.02966759 9.476277e-04 -3.0234
0.03911063 0.48727145 9.420460e-04 -3.0259
0.96088937 0.51272855 9.420460e-04 -3.0259
0.51341849 0.99052732 5.246560e-04 -3.2801
0.48658151 0.00947268 5.246560e-04 -3.2801
0.01704159 0.48617609 6.618885e-04 -3.1792
0.98295841 0.51382391 6.618885e-04 -3.1792
0.50768990 0.99995070 6.470906e-05 -4.1890
0.49231010 0.00004930 6.470906e-05 -4.1890
0.00033937 0.50388892 7.865861e-05 -4.1043
0.99966063 0.49611108 7.865861e-05 -4.1043
0.47934526 0.99674876 3.049669e-04 -3.5157
0.52065474 0.00325124 3.049669e-04 -3.5157
0.00347630 0.47781867 2.958088e-04 -3.5290
0.99652370 0.52218133 2.958088e-04 -3.5290
0.52698163 0.51009632 2.460975e-03 -2.6089
0.47301837 0.48990368 2.460975e-03 -2.6089
0.49208261 0.54139733 2.316387e-03 -2.6352
0.50791739 0.45860267 2.316387e-03 -2.6352
0.55855048 0.55037678 2.389529e-03 -2.6217
0.44144952 0.44962322 2.389529e-03 -2.6217
0.39215497 0.53933212 2.262355e-03 -2.6454
0.60784503 0.46066788 2.262355e-03 -2.6454
0.66327770 0.66340598 2.242101e-03 -2.6493
0.33672230 0.33659402 2.242101e-03 -2.6493
0.38078343 0.68851573 2.315903e-03 -2.6353
0.61921657 0.31148427 2.315903e-03 -2.6353
0.69242997 0.70024874 2.078521e-03 -2.6822
0.30757003 0.29975126 2.078521e-03 -2.6822
0.34547996 0.65345949 1.888584e-03 -2.7239
0.65452004 0.34654051 1.888584e-03 -2.7239
0.72372376 0.66854547 2.046313e-03 -2.6890
0.27627624 0.33145453 2.046313e-03 -2.6890
0.31030668 0.68561394 7.620400e-04 -3.1180
0.68969332 0.31438606 7.620400e-04 -3.1180
0.76496038 0.75543228 2.026791e-03 -2.6932
0.23503962 0.24456772 2.026791e-03 -2.6932
0.20125764 0.73677003 1.928677e-03 -2.7147
0.79874236 0.26322997 1.928677e-03 -2.7147
0.76029749 0.81931667 1.836820e-03 -2.7359
0.23970251 0.18068333 1.836820e-03 -2.7359
0.19564100 0.80927222 1.592583e-03 -2.7979
0.80435900 0.19072778 1.592583e-03 -2.7979
0.81709228 0.82251321 1.625786e-03 -2.7889
0.18290772 0.17748679 1.625786e-03 -2.7889
0.17125768 0.83755808 1.436333e-03 -2.8427
0.82874232 0.16244192 1.436333e-03 -2.8427
0.84607765 0.84892385 1.469436e-03 -2.8328
0.15392235 0.15107615 1.469436e-03 -2.8328
0.15649139 0.85767550 2.838334e-04 -3.5469
0.84350861 0.14232450 2.838334e-04 -3.5469
0.91763771 0.92102242 8.149310e-04 -3.0889
0.08236229 0.07897758 8.149310e-04 -3.0889
0.07918214 0.89365228 9.279755e-04 -3.0325
0.92081786 0.10634772 9.279755e-04 -3.0325
0.96796933 0.97234230 3.242865e-04 -3.4891
0.03203067 0.02765770 3.242865e-04 -3.4891
0.03545155 0.96025051 4.176277e-04 -3.3792
0.96454845 0.03974949 4.176277e-04 -3.3792
0.97938572 0.98407337 1.959445e-04 -3.7079
0.02061428 0.01592663 1.959445e-04 -3.7079
0.02357688 0.97445049 2.727323e-04 -3.5643
0.97642312 0.02554951 2.727323e-04 -3.5643
0.98993267 0.99124337 9.661398e-05 -4.0150
0.01006733 0.00875663 9.661398e-05 -4.0150
0.01394038 0.98484068 1.503223e-04 -3.8230
0.98605962 0.01515932 1.503223e-04 -3.8230
0.99510002 0.99761164 3.212333e-05 -4.4932
0.00489998 0.00238836 3.212333e-05 -4.4932
0.00547188 0.99466140 4.488592e-05 -4.3479
