p rho floor moller
1 1.00000 1.00000 1.00000
3 0.90856 0.79370 0.90856
5 0.78378 0.76314 0.78378
7 0.74062 0.74062 0.74062
9 0.72685 0.72685 0.70068
11 0.72408 0.72112 0.68028
13 0.71995 0.71619 0.66087
15 0.71608 0.71353 0.64906
17 0.71458 0.71188 0.63764
19 0.71138 0.71006 0.62996
21 0.70981 0.70882 0.62246
23 0.70752 0.70752 0.61706
25 0.70688 0.70627 0.61176
27 0.70561 0.70537 0.60776
29 0.70528 0.70448 0.60382
31 0.70447 0.70381 0.60074
33 0.70397 0.70329 0.59769
35 0.70321 0.70274 0.59525
37 0.70270 0.70231 0.59282
39 0.70220 0.70187 0.59083
41 0.70172 0.70143 0.58886
43 0.70329 0.70107 0.58721
45 0.70745 0.70071 0.58557
